#Prog	Map	        OpenCL	        Kernel	        Unmap	        Total
0	0.00634540	1.47733959	2.07637321	0.00332390	3.56338210
1	0.00002412	0.26580583	2.01124577	0.00001831	2.27709402
2	0.00623120	2.82455708	3.53311432	0.00562280	6.42560620
3	0.00001875	0.41449409	0.95889871	0.00001868	1.37343022
4	0.00285041	0.83871703	1.00251637	0.00001033	1.84409414
5	0.00001873	0.81664444	1.00947156	0.00001381	1.82614854
6	0.00001176	0.23058231	2.93956909	0.00193840	3.17210156
7	0.00000810	0.27231372	3.27945262	0.00000441	3.55789830
8	0.00001806	4.07534208	8.45699712	0.00001680	12.53237406
9	0.00001578	0.11667726	2.26225614	0.00001768	2.37896686
10	0.00001433	1.39898584	2.26712936	0.00001021	3.66613974
11	0.00097975	1.65010345	1.06997055	0.00077141	2.72182516
12	0.00003280	0.80393064	1.00555596	0.00002419	1.80954359
13	0.00000845	0.12709182	4.50565758	0.00000210	4.63275995
14	0.00000648	0.16821640	15.70604380	0.00000177	15.87426845
#15	0.00001980	4.02590403	1.04823757	0.00398955	5.07815095
#16	0.00003559	0.18161136	0.26813744	0.00540020	0.45518459
#17	0.00014336	0.39033686	0.09855294	0.00019297	0.48922613
#18	0.00004549	0.72535091	0.05816049	0.00002621	0.78358310
#19	0.00000498	4.06478397	1.69290263	0.00000116	5.75769275
#20	0.00004655	2.65967814	1.64359386	0.00004220	4.30336075
