#Prog	Map	        Other	        Kernel	        Unmap	        Total
0	0.000000	0.080904	0.064188	0.000000	0.145092
1	0.000000	0.049642	0.247982	0.000000	0.297624
2	0.000000	0.121358	0.151438	0.000000	0.272797
3	0.000000	0.052505	0.314139	0.000000	0.366644
4	0.000000	0.069913	0.250949	0.000000	0.320862
5	0.000000	0.067176	0.250810	0.000000	0.317986
6	0.000000	0.061374	0.596077	0.000000	0.657454
7	0.000000	0.055754	3.712190	0.000000	3.767944
8	0.000000	0.049436	2.783411	0.000000	2.832847
9	0.000000	0.036163	0.899546	0.000000	0.935709
10	0.000000	0.074332	0.426427	0.000000	0.500760
11	0.000000	0.042662	0.275105	0.000000	0.317768
12	0.000000	0.055965	0.232766	0.000000	0.288732
13	0.000000	0.053333	2.044613	0.000000	2.097946
14	0.000000	0.052627	3.768823	0.000000	3.821449
